gsymbol
ABCA2
ACR
ADRB2
ANKRD27
AP3M1
ARSB
AZU1
BCL10
CASC5
CD63
CLN5
CORO1A
CTNS
CTSC
CTSF
CYLC1
DNASE2
GALC
GLA
HLA-DOB
HLA-DRA
HPS1
HPS4
HYAL2
IFI30
IL8RB
KCNE1
KCNE2
LAMP2
LAMP3
LIPA
LRP2
MPO
MYO7A
NAGLU
NEU4
NPC2
PPT1
RAB14
RAB7A
RAB9A
RAMP2
RAMP3
SFTPD
SLC17A5
SPACA3
SRGN
STS
TIAL1
TOM1
TOM1L1
TPP1
TRIM23
TSPAN8
TYR
USE1
USP4
USP5
USP6
VAMP4
VPS45
